,3a. International Petroleum and Other Liquids Production, Consumption, and Inventories,Supply,OECD Petroleum Production,U.S. (50 States) Petroleum Production,Canada Petroleum Production,Mexico Petroleum Production,Other OECD Petroleum Production,Non-OECD Petroleum Production,OPEC-13 Petroleum Production,OPEC 13 Crude Oil Production,OPEC Other Liquids Production,Eurasia Petroleum Production,China Petroleum Production,Other Non-OECD Petroleum Production,Total World Petroleum Production, ,Non-OPEC Petroleum Production,Consumption,Total OECD Petroleum Consumption,U.S. (50 States) Petroleum Consumption,U.S. Territories Petroleum Consumption,Canada Petroleum Consumption,Europe Petroleum Consumption,Japan Petroleum Consumption,Other OECD Petroleum Consumption,Total non-OECD Petroleum Consumption,Eurasia Petroleum Consumption,Europe Petroleum Consumption,China Petroleum Consumption,Other Asia Petroleum Consumption,Other Non-OECD Petroleum Consumption,Total World Petroleum Consumption,Total Crude Oil and Other Liquids Inventory Net Withdrawals,U.S. (50 States) Total Crude Oil and Other Liquids Inventory Net Withdrawals,Other OECD Total Crude Oil and Other Liquids Inventory Net Withdrawals,Non-OECD Total Crude Oil and Other Liquids Inventory Net Withdrawals,World Total Crude Oil and Other Liquids Inventory Net Withdrawals,End-of-period Commercial Crude Oil and Other Liquids Inventories,U.S. Commercial Inventory,OECD Commercial Inventory
map,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,,
linechart,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,,
units,,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels per day,million barrels,million barrels,million barrels,,
source key,,,PAPR_OECD,PAPR_US,PAPR_CA,PAPR_MX,PAPR_OTHEROECD,PAPR_NONOECD,PAPR_OPEC,COPR_OPEC,OPEC_NC,PAPR_FSU,PAPR_CH,PAPR_OTHER_NONOECD,PAPR_WORLD,,PAPR_NONOPEC,,PATC_OECD,PATC_US,PATC_UST,PATC_CA,PATC_OECD_EUROPE,PATC_JA,PATC_OTHER_OECD,PATC_NON_OECD,PATC_FSU,PATC_NONOECD_EUROPE,PATC_CH,PATC_OTHER_ASIA,PATC_OTHER_NONOECD,PATC_WORLD,,T3_STCHANGE_US,T3_STCHANGE_OOECD,T3_STCHANGE_NOECD,T3_STCHANGE_WORLD,,PASC_US,PASC_OECD_T3,,
Jan 1997,,,23,9,3,3,8,50,28,26,3,7,3,11,73,,45,,48,19,0,2,16,6,6,26,4,1,3,7,11,74,,0,--,--,1,,937,--,,
Feb 1997,,,24,10,3,3,8,50,29,26,3,7,3,11,74,,45,,48,18,0,2,16,7,6,26,4,1,3,7,11,74,,1,--,--,0,,918,--,,
Mar 1997,,,23,9,3,3,8,50,29,26,3,7,3,11,74,,45,,46,18,0,2,15,6,6,26,4,1,3,7,11,72,,-1,--,--,-2,,948,--,,
Apr 1997,,,23,9,3,3,8,51,29,26,3,7,3,11,74,,45,,47,19,0,2,16,5,6,26,4,1,4,7,11,73,,-0,--,--,-2,,954,--,,
May 1997,,,23,10,2,3,8,51,29,26,3,7,3,11,74,,45,,45,18,0,2,14,5,5,26,4,1,4,7,11,71,,-1,--,--,-3,,998,--,,
Jun 1997,,,23,9,3,3,7,50,28,26,3,7,3,11,73,,45,,46,19,0,2,15,5,5,26,4,1,4,7,11,72,,-0,--,--,-1,,1011,--,,
Jul 1997,,,23,9,3,3,8,50,28,26,3,7,3,11,73,,45,,48,19,0,2,16,5,5,26,4,1,4,7,11,73,,1,--,--,-0,,996,--,,
Aug 1997,,,23,9,3,3,8,51,29,27,3,7,3,11,74,,45,,46,19,0,2,14,5,5,26,4,1,4,7,11,72,,-0,--,--,-3,,1007,--,,
Sep 1997,,,24,10,3,4,8,51,29,27,3,7,3,11,75,,45,,47,19,0,2,16,5,5,26,4,1,4,7,11,73,,-1,--,--,-2,,1029,--,,
Oct 1997,,,24,10,3,4,8,51,30,27,3,7,3,11,75,,46,,48,19,0,2,16,5,6,26,4,1,4,7,11,75,,-0,--,--,-1,,1034,--,,
Nov 1997,,,24,9,3,4,8,51,29,27,3,7,3,11,75,,46,,47,19,0,2,15,6,6,26,4,1,4,7,11,74,,-0,--,--,-1,,1036,--,,
Dec 1997,,,24,10,3,3,8,51,29,26,3,7,3,12,75,,46,,50,19,0,2,16,6,6,26,4,1,4,7,11,76,,1,--,--,1,,996,--,,
Jan 1998,,,24,10,3,3,8,53,30,27,3,7,3,12,76,,46,,47,18,0,2,15,6,5,26,4,1,4,7,11,73,,-0,--,--,-3,,1006,--,,
