;;remove;2. Energy Prices;Crude Oil Prices;West Texas Intermediate Spot Average;Imported Average;Refiner Average Acquisition Cost;Brent Spot Average;U.S. Liquid Fuels;Refiner Prices for Resale;Gasoline;Diesel Fuel;Fuel Oil;Refiner Prices to End Users;Jet Fuel;No. 6 Residual Fuel;Retail Prices Including Taxes;Gasoline Regular Grade;Gasoline All Grades;On-highway Diesel Fuel;Heating Oil;Natural Gas;Henry Hub Spot;Henry Hub Spot;U.S. Retail Prices;Industrial Sector;Commercial Sector;Residential Sector;U.S. Electricity;Power Generation Fuel Costs;Coal;Natural Gas;Residual Fuel Oil;Distillate Fuel Oil;Retail Prices;Industrial Sector;Commercial Sector;Residential Sector
;;;2. Energy Prices;Crude Oil Prices;West Texas Intermediate Crude Oil Spot Price;Imported Crude Oil Average Price;Refiner Average Crude Oil Acquisition Cost;Brent Crude Oil Spot Price;U.S. Liquid Fuels;Refiner Prices for Resale;Gasoline Wholesale Price;No. 2 Diesel Fuel Wholesale Price;No. 2 Fuel Oil Wholesale Price;Refiner Prices to End Users;Jet Fuel Wholesale Price;No. 6 Residual Fuel Wholesale Price;Retail Prices Including Taxes;Gasoline Regular Grade Retail Price;Gasoline All Grades Retail Price;On-highway Diesel Fuel Retail Price;Heating Oil Retail Price;Natural Gas;Natural Gas Henry Hub Spot Price;Natural Gas Henry Hub Spot Price;U.S. Retail Prices;Natural Gas Price Industrial Sector;Natural Gas Price Commercial Sector;Natural Gas Price Residential Sector;U.S. Electricity;Power Generation Fuel Costs;Electric Power Sector Coal Cost;Electric Power Sector Natural Gas Cost;Electric Power Sector Residual Fuel Oil Cost;Electric Power Sector Distillate Fuel Oil Cost;Retail Prices;Electricity Price Industrial Sector;Electricity Price Commercial Sector;Electricity Price Residential Sector
;;map;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1
;;linechart;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1
;;units;;dollars per barrel;dollars per barrel;dollars per barrel;dollars per barrel;dollars per barrel;cents per gallon;;cents per gallon;cents per gallon;cents per gallon;;cents per gallon;cents per gallon;;cents per gallon;cents per gallon;cents per gallon;cents per gallon;dollars per thousand cubic feet;dollars per thousand cubic feet;dollars per million btu;dollars per thousand cubic feet;dollars per thousand cubic feet;dollars per thousand cubic feet;dollars per thousand cubic feet;dollars per million btu;dollars per million btu;dollars per million btu;dollars per million btu;dollars per million btu;dollars per million btu;cents per kilowatthour;cents per kilowatthour;cents per kilowatthour;cents per kilowatthour
;;source key;;;WTIPUUS;RAIMUUS;RACPUUS;BREPUUS;;;MGWHUUS;DSWHUUS;D2WHUUS;;JKTCUUS;RFTCUUS;;MGRARUS;MGEIAUS;DSRTUUS;D2RCAUS;;NGHHMCF;NGHHUUS;;NGICUUS;NGCCUUS;NGRCUUS;;;CLEUDUS;NGEUDUS;RFEUDUS;DKEUDUS;;ESICUUS;ESCMUUS;ESRCUUS
;;Jan 1997;;;25.13;23.02;23.59;23.54;;;75;70;70;;74;50;;124;128;129;114;;3.54;3.45;;4.6;6.19;6.74;;;1.28;4.08;3.06;--;;4.41;7.27;7.87
;;Feb 1997;;;22.18;20.88;21.64;20.85;;;73;68;65;;72;45;;123;128;128;113;;2.21;2.15;;4.18;6.14;6.79;;;1.29;3.12;2.88;--;;4.41;7.38;7.98
;;Mar 1997;;;20.96;19.16;19.82;19.13;;;71;62;58;;62;40;;121;125;123;108;;1.94;1.89;;3.34;5.73;6.52;;;1.3;2.36;2.67;--;;4.41;7.44;8.24
;;Apr 1997;;;19.7;17.83;18.35;17.55;;;70;62;59;;60;40;;120;124;121;105;;2.09;2.03;;3.1;5.46;6.53;;;1.3;2.31;2.55;--;;4.33;7.4;8.38
;;May 1997;;;20.82;18.55;18.79;19.02;;;71;61;59;;59;40;;120;125;120;103;;2.31;2.25;;3.04;5.39;6.83;;;1.28;2.47;2.58;--;;4.39;7.58;8.65
;;Jun 1997;;;19.26;17.35;17.8;17.58;;;68;57;55;;58;40;;120;124;117;100;;2.26;2.2;;3.19;5.64;8.3;;;1.28;2.54;2.63;--;;4.61;7.88;8.91
;;Jul 1997;;;19.66;17.49;17.84;18.46;;;68;56;54;;57;40;;117;122;115;96;;2.25;2.19;;3.11;5.35;8.78;;;1.26;2.44;2.7;--;;4.82;7.86;8.74
;;Aug 1997;;;19.95;17.96;18.19;18.59;;;75;59;55;;59;41;;122;127;117;95;;2.56;2.49;;3;5.43;8.99;;;1.25;2.52;2.68;--;;4.76;7.91;8.8
;;Sep 1997;;;19.8;17.85;18.14;18.46;;;72;58;54;;58;41;;123;128;116;95;;2.96;2.88;;3.32;5.58;8.84;;;1.26;2.9;2.75;--;;4.73;7.86;8.75
;;Oct 1997;;;21.32;18.73;19.17;19.86;;;69;62;59;;62;44;;120;124;118;96;;3.16;3.07;;3.69;5.74;7.69;;;1.26;3.24;3.02;--;;4.61;7.66;8.59
;;Nov 1997;;;20.19;17.88;18.52;19.17;;;66;62;58;;61;46;;117;122;119;97;;3.09;3.01;;4.02;5.86;6.86;;;1.26;3.42;3.09;--;;4.45;7.43;8.25
;;Dec 1997;;;18.33;15.95;16.91;17.18;;;62;55;53;;56;40;;113;118;111;98;;2.41;2.35;;3.74;5.72;6.54;;;1.25;2.78;2.65;--;;4.36;7.24;8.03
;;Jan 1998;;;16.72;14.33;15.04;15.19;;;58;50;49;;52;35;;109;113;112;97;;2.16;2.09;;3.67;5.65;6.41;;;1.26;2.75;2.35;--;;4.36;7.22;7.87
;;Feb 1998;;;16.06;13.32;13.98;14.07;;;55;48;48;;50;33;;105;110;108;95;;2.3;2.23;;3.58;5.59;6.41;;;1.26;2.53;2.06;--;;4.31;7.29;7.97
;;Mar 1998;;;15.12;12.34;12.84;13.1;;;52;46;45;;45;29;;102;106;106;93;;2.32;2.24;;3.4;5.4;6.29;;;1.27;2.54;1.99;--;;4.33;7.28;8.01
;;Apr 1998;;;15.35;12.81;13.06;13.53;;;55;48;45;;47;32;;103;108;107;92;;2.51;2.43;;3.28;5.64;6.81;;;1.27;2.6;2.19;--;;4.3;7.31;8.23
;;May 1998;;;14.91;12.61;12.95;14.36;;;58;47;43;;47;32;;106;111;107;90;;2.21;2.14;;3.14;5.73;7.7;;;1.26;2.47;2.15;--;;4.41;7.45;8.49
;;Jun 1998;;;13.72;11.61;11.94;12.21;;;56;44;40;;43;31;;106;110;104;87;;2.24;2.17;;2.97;5.51;8.51;;;1.26;2.38;2.17;--;;4.65;7.61;8.53
;;Jul 1998;;;14.17;11.55;11.9;12.08;;;54;43;39;;43;32;;106;109;103;85;;2.24;2.17;;3.04;5.64;8.53;;;1.25;2.48;2.2;--;;4.85;7.69;8.58
;;Aug 1998;;;13.47;11.34;11.77;11.91;;;51;41;37;;44;29;;103;107;101;84;;1.91;1.85;;2.75;5.46;9.25;;;1.26;2.18;2.03;--;;4.78;7.67;8.57
;;Sep 1998;;;15.03;12.77;13.01;13.34;;;51;46;42;;45;28;;101;105;102;83;;2.08;2.02;;2.65;5.49;8.96;;;1.25;2.12;1.96;--;;4.62;7.55;8.43
;;Oct 1998;;;14.46;12.11;12.61;12.7;;;52;46;41;;47;30;;102;106;104;83;;1.98;1.91;;2.75;5.31;7.6;;;1.24;2.23;2.08;--;;4.42;7.44;8.25
;;Nov 1998;;;13;10.99;11.56;11.04;;;48;41;39;;44;31;;100;104;102;84;;2.19;2.12;;2.95;5.22;6.58;;;1.24;2.41;1.99;--;;4.32;7.11;8.04
